character_id,name_kr,character_name,normalized_key,scenarios,search_google,search_ko_wiki,search_namu,status,decision,reason,source1,source2,verified_at,precheck_status,precheck_reason,precheck_source,precheck_query
2309,사지,sa_ji_2309,sa_ji_2309,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%82%AC%EC%A7%80%20%EC%82%BC%EA%B5%AD%EC%A7%80%20sa_ji_2309,https://ko.wikipedia.org/wiki/%EC%82%AC%EC%A7%80,https://namu.wiki/w/%EC%82%AC%EC%A7%80,PENDING,,,,,,KEEP_CANDIDATE,contains keywords: 삼국,https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80%20%EC%9D%B8%EB%AC%BC%20%EB%AA%A9%EB%A1%9D,사지 삼국지
2310,사찬,sa_chan_2310,sa_chan_2310,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%82%AC%EC%B0%AC%20%EC%82%BC%EA%B5%AD%EC%A7%80%20sa_chan_2310,https://ko.wikipedia.org/wiki/%EC%82%AC%EC%B0%AC,https://namu.wiki/w/%EC%82%AC%EC%B0%AC,PENDING,,,,,,KEEP_CANDIDATE,"contains keywords: 삼국, 후한, 조조, 유비, 위나라",https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80,사찬 삼국지
2311,사환,sa_hwan_2311,sa_hwan_2311,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%82%AC%ED%99%98%20%EC%82%BC%EA%B5%AD%EC%A7%80%20sa_hwan_2311,https://ko.wikipedia.org/wiki/%EC%82%AC%ED%99%98,https://namu.wiki/w/%EC%82%AC%ED%99%98,PENDING,,,,,,KEEP_CANDIDATE,"contains keywords: 후한, 조조",https://ko.wikipedia.org/wiki/%EC%82%AC%ED%99%98,사환 삼국지
2312,사휘,sa_hwi_2312,sa_hwi_2312,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%82%AC%ED%9C%98%20%EC%82%BC%EA%B5%AD%EC%A7%80%20sa_hwi_2312,https://ko.wikipedia.org/wiki/%EC%82%AC%ED%9C%98,https://namu.wiki/w/%EC%82%AC%ED%9C%98,PENDING,,,,,,KEEP_CANDIDATE,"contains keywords: 삼국, 손권",https://ko.wikipedia.org/wiki/%EC%82%AC%ED%9C%98,사휘 삼국지
2313,사흠,sa_heum_2313,sa_heum_2313,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%82%AC%ED%9D%A0%20%EC%82%BC%EA%B5%AD%EC%A7%80%20sa_heum_2313,https://ko.wikipedia.org/wiki/%EC%82%AC%ED%9D%A0,https://namu.wiki/w/%EC%82%AC%ED%9D%A0,PENDING,,,,,,REMOVE_CANDIDATE,no key Three Kingdoms keywords in intro,https://ko.wikipedia.org/wiki/%EC%A7%84%EA%B5%AD,사흠 삼국지
2314,상관자수,sang_gwanjasu_2314,sang_gwanjasu_2314,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%83%81%EA%B4%80%EC%9E%90%EC%88%98%20%EC%82%BC%EA%B5%AD%EC%A7%80%20sang_gwanjasu_2314,https://ko.wikipedia.org/wiki/%EC%83%81%EA%B4%80%EC%9E%90%EC%88%98,https://namu.wiki/w/%EC%83%81%EA%B4%80%EC%9E%90%EC%88%98,PENDING,,,,,,KEEP_CANDIDATE,"contains keywords: 후한, 손권",https://ko.wikipedia.org/wiki/%EC%97%AC%EB%AA%BD,상관자수 삼국지
2315,상림,sang_rim_2315,sang_rim_2315,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%83%81%EB%A6%BC%20%EC%82%BC%EA%B5%AD%EC%A7%80%20sang_rim_2315,https://ko.wikipedia.org/wiki/%EC%83%81%EB%A6%BC,https://namu.wiki/w/%EC%83%81%EB%A6%BC,PENDING,,,,,,KEEP_CANDIDATE,"contains keywords: 삼국, 후한, 조조, 유비, 위나라",https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80,상림 삼국지
2316,서곤,seo_gon_2316,seo_gon_2316,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%9C%EA%B3%A4%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seo_gon_2316,https://ko.wikipedia.org/wiki/%EC%84%9C%EA%B3%A4,https://namu.wiki/w/%EC%84%9C%EA%B3%A4,PENDING,,,,,,KEEP_CANDIDATE,contains keywords: 삼국,https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80%20%EC%9D%B8%EB%AC%BC%20%EB%AA%A9%EB%A1%9D,서곤 삼국지
2317,서구,seo_gu_2317,seo_gu_2317,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%9C%EA%B5%AC%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seo_gu_2317,https://ko.wikipedia.org/wiki/%EC%84%9C%EA%B5%AC,https://namu.wiki/w/%EC%84%9C%EA%B5%AC,PENDING,,,,,,KEEP_CANDIDATE,contains keywords: 후한,https://ko.wikipedia.org/wiki/%EC%98%A4%EA%B2%BD%20%28%ED%9B%84%ED%95%9C%29,서구 삼국지
2318,서상,seo_sang_2318,seo_sang_2318,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%9C%EC%83%81%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seo_sang_2318,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%83%81,https://namu.wiki/w/%EC%84%9C%EC%83%81,PENDING,,,,,,KEEP_CANDIDATE,"contains keywords: 삼국, 후한, 조조, 유비, 위나라",https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80,서상 삼국지
