id,name,slug,title,path,url
275,동우,dong_u_275,동우(삼국지),/w/동우(삼국지),https://namu.wiki/w/%EB%8F%99%EC%9A%B0(%EC%82%BC%EA%B5%AD%EC%A7%80)
278,한영,han_yeong_278,한영(삼국지연의),/w/한영(삼국지연의),https://namu.wiki/w/%ED%95%9C%EC%98%81(%EC%82%BC%EA%B5%AD%EC%A7%80%EC%97%B0%EC%9D%98)
303,손영,son_yeong_303,손영,/w/손영,https://namu.wiki/w/%EC%86%90%EC%98%81
304,서봉,seo_bong_304,서봉,/w/서봉,https://namu.wiki/w/%EC%84%9C%EB%B4%89
305,원성,won_seong_305,원성,/w/원성,https://namu.wiki/w/%EC%9B%90%EC%84%B1
306,서강,seo_gang_306,서강(삼국지연의),/w/서강(삼국지연의),https://namu.wiki/w/%EC%84%9C%EA%B0%95(%EC%82%BC%EA%B5%AD%EC%A7%80%EC%97%B0%EC%9D%98)
313,유영,yu_yeong_313,유영(삼국지),/w/유영(삼국지),https://namu.wiki/w/%EC%9C%A0%EC%98%81(%EC%82%BC%EA%B5%AD%EC%A7%80)
325,조광,jo_gwang_325,조광(삼국지),/w/조광(삼국지),https://namu.wiki/w/%EC%A1%B0%EA%B4%91(%EC%82%BC%EA%B5%AD%EC%A7%80)
333,마우,ma_u_333,마우,/w/마우,https://namu.wiki/w/%EB%A7%88%EC%9A%B0
348,육현,yuk_hyeon_348,육현,/w/육현,https://namu.wiki/w/%EC%9C%A1%ED%98%84
352,진명,jin_myeong_352,진명(삼국지연의),/w/진명(삼국지연의),https://namu.wiki/w/%EC%A7%84%EB%AA%85(%EC%82%BC%EA%B5%AD%EC%A7%80%EC%97%B0%EC%9D%98)
382,진준,jin_jun_382,진준(삼국지연의),/w/진준(삼국지연의),https://namu.wiki/w/%EC%A7%84%EC%A4%80(%EC%82%BC%EA%B5%AD%EC%A7%80%EC%97%B0%EC%9D%98)
388,조덕,jo_deok_388,조덕,/w/조덕,https://namu.wiki/w/%EC%A1%B0%EB%8D%95
398,유준,yu_jun_398,유준(삼국지),/w/유준(삼국지),https://namu.wiki/w/%EC%9C%A0%EC%A4%80(%EC%82%BC%EA%B5%AD%EC%A7%80)
401,진진,jin_jin_401,진진(삼국지),/w/진진(삼국지),https://namu.wiki/w/%EC%A7%84%EC%A7%84(%EC%82%BC%EA%B5%AD%EC%A7%80)
404,원수,won_su_404,원수(삼국지),/w/원수(삼국지),https://namu.wiki/w/%EC%9B%90%EC%88%98(%EC%82%BC%EA%B5%AD%EC%A7%80)
407,이호,i_ho_407,이호(삼국지),/w/이호(삼국지),https://namu.wiki/w/%EC%9D%B4%ED%98%B8(%EC%82%BC%EA%B5%AD%EC%A7%80)
410,조우,jo_u_410,조우(삼국지),/w/조우(삼국지),https://namu.wiki/w/%EC%A1%B0%EC%9A%B0(%EC%82%BC%EA%B5%AD%EC%A7%80)
413,정안,jeong_an_413,정안(삼국지),/w/정안(삼국지),https://namu.wiki/w/%EC%A0%95%EC%95%88(%EC%82%BC%EA%B5%AD%EC%A7%80)
428,주충,ju_chung_428,주충,/w/주충,https://namu.wiki/w/%EC%A3%BC%EC%B6%A9
429,유호,yu_ho_429,유호,/w/유호,https://namu.wiki/w/%EC%9C%A0%ED%98%B8
431,정충,jeong_chung_431,정충,/w/정충,https://namu.wiki/w/%EC%A0%95%EC%B6%A9
518,악침,ak_chim_518,악침,/w/악침,https://namu.wiki/w/%EC%95%85%EC%B9%A8
519,한호,han_ho_519,한호(삼국지),/w/한호(삼국지),https://namu.wiki/w/%ED%95%9C%ED%98%B8(%EC%82%BC%EA%B5%AD%EC%A7%80)
526,매성,mae_seong_526,매성,/w/매성,https://namu.wiki/w/%EB%A7%A4%EC%84%B1
539,위관,wi_gwan_539,위관,/w/위관,https://namu.wiki/w/%EC%9C%84%EA%B4%80
543,왕필,wang_pil_543,왕필(후한),/w/왕필(후한),https://namu.wiki/w/%EC%99%95%ED%95%84(%ED%9B%84%ED%95%9C)
544,왕기,wang_gi_544,왕기(삼국지),/w/왕기(삼국지),https://namu.wiki/w/%EC%99%95%EA%B8%B0(%EC%82%BC%EA%B5%AD%EC%A7%80)
546,왕릉,wang_reung_546,왕릉(삼국지),/w/왕릉(삼국지),https://namu.wiki/w/%EC%99%95%EB%A6%89(%EC%82%BC%EA%B5%AD%EC%A7%80)
547,왕숙,wang_suk_547,왕숙,/w/왕숙,https://namu.wiki/w/%EC%99%95%EC%88%99
569,사섭,sa_seop_569,사섭,/w/사섭,https://namu.wiki/w/%EC%82%AC%EC%84%AD
578,하제,ha_je_578,하제,/w/하제,https://namu.wiki/w/%ED%95%98%EC%A0%9C
581,진표,jin_pyo_581,진표(삼국지),/w/진표(삼국지),https://namu.wiki/w/%EC%A7%84%ED%91%9C(%EC%82%BC%EA%B5%AD%EC%A7%80)
582,손소,son_so_582,손소(손오 승상),/w/손소(손오 승상),https://namu.wiki/w/%EC%86%90%EC%86%8C(%EC%86%90%EC%98%A4%20%EC%8A%B9%EC%83%81)
