id,name,slug,status,query,title,path,url,score,reason,desc_excerpt,categories
58,조진,jo_jin_58,KEEP,조진,조진,/w/%EC%A1%B0%EC%A7%84,https://namu.wiki/w/%EC%A1%B0%EC%A7%84,18,strong:후한 말|삼국시대|조위|위나라,후한 말과 삼국시대 위나라 의 장수. 자 는 자단(子丹). 조조 의 조카 뻘. 형제자매로 조빈 과,후한의 인물 | 한나라/무관 | 조위의 인물 | 삼국시대(중국)/황족 | 231년 사망
61,방덕,pang_de_61,KEEP,방덕,방덕,/w/%EB%B0%A9%EB%8D%95,https://namu.wiki/w/%EB%B0%A9%EB%8D%95,13,strong:후한 말|정사 삼국지|조위|위나라,"방덕(龐德, 생년 미상~219년)은 후한 말의 인물. 위나라 의 인물. 자 는 영명(令明). 정사 삼국지 초",딩시시 출신 인물 | 후한의 인물 | 한나라/무관 | 조위의 인물 | 219년 사망 | 전쟁 사망자 | 참수된 인물
65,종요,jong_yo_65,KEEP,종요,종요,/w/%EC%A2%85%EC%9A%94,https://namu.wiki/w/%EC%A2%85%EC%9A%94,13,strong:후한 말|삼국시대|조위|위나라,후한 말과 삼국시대 위나라 의 인물이며 자 는 원상(元常)으로 예주 영천군 장사현 출생. 영천 에서,한나라의 관료 | 조위의 태위 | 중국의 서예가 | 151년 출생 | 230년 사망 | 쉬창시 출신 인물 | 영천 종씨
67,두습,du_seup_67,KEEP,두습,두습,/w/%EB%91%90%EC%8A%B5,https://namu.wiki/w/%EB%91%90%EC%8A%B5,11,strong:삼국시대|조위|위나라,삼국시대 위나라 의 인물로 자 는 자서(子緖). 예주 영천군 정릉현 출신으로 인재가 많았던 영천 에서,조위의 인물 | 뤄허시 출신 인물
72,유방,yu_bang_72,KEEP,유방(삼국지),유방(삼국지),/w/%EC%9C%A0%EB%B0%A9(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%EC%9C%A0%EB%B0%A9(%EC%82%BC%EA%B5%AD%EC%A7%80),15,strong:후한 말|삼국시대|조위|위나라;qual:삼국지,후한 말과 삼국시대 위나라 의 인물이며 자 는 자기(子棄)로 한 (漢)왕조의 창시자인 한고제 와는 한국,후한의 인물 | 한나라의 황족 | 조위의 인물 | 250년 사망 | 랑팡시 출신 인물
73,손자,son_ja_73,KEEP,손자(삼국지),손자(삼국지),/w/%EC%86%90%EC%9E%90(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%EC%86%90%EC%9E%90(%EC%82%BC%EA%B5%AD%EC%A7%80),13,strong:삼국시대|조위|위나라;qual:삼국지,삼국시대 위나라 의 인물이며 자 는 언룡(彥龍)으로 병주 태원군 중도현 출신이다. 유방 과는 진정한,조위의 인물 | 251년 사망
80,방통,pang_tong_80,KEEP,방통,방통,/w/%EB%B0%A9%ED%86%B5,https://namu.wiki/w/%EB%B0%A9%ED%86%B5,9,strong:후한 말|촉한,"후한 말의 전략가이자 유비 휘하의 모사. 자 는 사원(士元). 시호는 정후(靖侯). 시법에 따라 해석하면 """,방통 | 179년 출생 | 214년 사망 | 샹양시 출신 인물 | 후한의 인물 | 촉한의 인물 | 전쟁 사망자 | 화살에 죽은 인물
90,이엄,li_yan_90,KEEP,이엄(삼국지),이엄(삼국지),/w/%EC%9D%B4%EC%97%84(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%EC%9D%B4%EC%97%84(%EC%82%BC%EA%B5%AD%EC%A7%80),13,strong:후한 말|삼국시대|촉한;qual:삼국지,후한 말과 삼국시대 촉한 의 인물이며 자 는 정방(正方)으로 형주 남양군 사람이다. 230년에 이름,촉한의 인물 | 234년 사망 | 난양시 출신 인물
92,미축,mi_chuk_92,KEEP,미축,미축,/w/%EB%AF%B8%EC%B6%95,https://namu.wiki/w/%EB%AF%B8%EC%B6%95,16,strong:후한 말|삼국시대|촉한|삼국시대(중국),"후한 말과 삼국시대 촉한 의 문관이자 미방 의 형, 미부인 의 오빠로 자 는 자중(子仲). 서주",221년 사망 | 후한의 인물 | 삼국시대(중국)/외척 | 촉한의 인물 | 롄윈강시 출신 인물 | 지병으로 죽은 인물
105,오의,o_ui_105,KEEP,오의(삼국지),오의(삼국지),/w/%EC%98%A4%EC%9D%98(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%EC%98%A4%EC%9D%98(%EC%82%BC%EA%B5%AD%EC%A7%80),18,strong:후한 말|삼국시대|촉한|삼국시대(중국);qual:삼국지,"후한 말 군벌인 유장 수하의 장수이자 삼국시대 촉한 의 장수. 목황후 의 오빠, 오반 의 족형이다.",후한의 인물 | 촉한의 인물 | 삼국시대(중국)/외척 | 237년 사망 | 카이펑시 출신 인물
