character_id,name_kr,character_name,confirmed,best_score,best_title,best_path,best_url,reason_flags,best_desc
169,한숭,han_sung_169,NO,-1,비정상적인 트래픽 감지,/w/한숭,https://namu.wiki/w/%ED%95%9C%EC%88%AD,"title_mismatch,path_match",
175,포신,po_sin_175,NO,-1,비정상적인 트래픽 감지,/w/포신,https://namu.wiki/w/%ED%8F%AC%EC%8B%A0,"title_mismatch,path_match",
176,공융,kong_rong_176,NO,-1,비정상적인 트래픽 감지,/w/공융,https://namu.wiki/w/%EA%B3%B5%EC%9C%B5,"title_mismatch,path_match",
178,왕광,wang_gwang_178,NO,-1,비정상적인 트래픽 감지,/w/왕광,https://namu.wiki/w/%EC%99%95%EA%B4%91,"title_mismatch,path_match",
190,양봉,yang_bong_190,NO,-1,비정상적인 트래픽 감지,/w/양봉,https://namu.wiki/w/%EC%96%91%EB%B4%89,"title_mismatch,path_match",
192,이각,i_gak_192,NO,-1,비정상적인 트래픽 감지,/w/이각,https://namu.wiki/w/%EC%9D%B4%EA%B0%81,"title_mismatch,path_match",
195,화웅,hwa_ung_195,NO,-1,비정상적인 트래픽 감지,/w/화웅,https://namu.wiki/w/%ED%99%94%EC%9B%85,"title_mismatch,path_match",
198,이숙,i_suk_198,NO,-1,비정상적인 트래픽 감지,/w/이숙,https://namu.wiki/w/%EC%9D%B4%EC%88%99,"title_mismatch,path_match",
241,파재,pa_jae_241,NO,-1,비정상적인 트래픽 감지,/w/파재,https://namu.wiki/w/%ED%8C%8C%EC%9E%AC,"title_mismatch,path_match",
242,팽탈,paeng_tal_242,NO,-1,비정상적인 트래픽 감지,/w/팽탈,https://namu.wiki/w/%ED%8C%BD%ED%83%88,"title_mismatch,path_match",
243,마원의,ma_wonui_243,NO,-1,비정상적인 트래픽 감지,/w/마원의,https://namu.wiki/w/%EB%A7%88%EC%9B%90%EC%9D%98,"title_mismatch,path_match",
247,하의,ha_ui_247,NO,-1,비정상적인 트래픽 감지,/w/하의,https://namu.wiki/w/%ED%95%98%EC%9D%98,"title_mismatch,path_match",
248,한충,han_chung_248,NO,-1,비정상적인 트래픽 감지,/w/한충,https://namu.wiki/w/%ED%95%9C%EC%B6%A9,"title_mismatch,path_match",
249,손하,son_ha_249,NO,-1,비정상적인 트래픽 감지,/w/손하,https://namu.wiki/w/%EC%86%90%ED%95%98,"title_mismatch,path_match",
257,주준,zhu_jun_257,NO,-1,비정상적인 트래픽 감지,/w/주준,https://namu.wiki/w/%EC%A3%BC%EC%A4%80,"title_mismatch,path_match",
266,원진,won_jin_266,NO,-1,비정상적인 트래픽 감지,/w/원진,https://namu.wiki/w/%EC%9B%90%EC%A7%84,"title_mismatch,path_match",
267,유민,yu_min_267,NO,-1,비정상적인 트래픽 감지,/w/유민,https://namu.wiki/w/%EC%9C%A0%EB%AF%BC,"title_mismatch,path_match",
272,원재,won_jae_272,NO,-1,비정상적인 트래픽 감지,/w/원재,https://namu.wiki/w/%EC%9B%90%EC%9E%AC,"title_mismatch,path_match",
275,동우,dong_u_275,NO,-1,비정상적인 트래픽 감지,/w/동우,https://namu.wiki/w/%EB%8F%99%EC%9A%B0,"title_mismatch,path_match",
